"id","nom","prenom","cin","email","tel","employee_id","password_hash","camion","created_at","updated_at"
"315","Mansour","Karim","AA123456","karim.mansour@fleet.local","+21620000000","DRV-00412","$2b$10$O2Kw5S1bRBlPgsPWi1erpuRlBvJOS8OFUDryBPhFzaoQwfy4m0LOG","1003TU216","2026-04-10 16:13:29.739946","2026-04-10 16:28:28.410935"
"1","KHMAIES","ABBES","CIN000001","abbes.khmaies.1@mock.local","98766374","DRV-00001","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"2","BACEM","ABDALLAH","CIN000002","abdallah.bacem.2@mock.local","98757496","DRV-00002","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"3","HAMDI","ABDELAOUI","CIN000003","abdelaoui.hamdi.3@mock.local","98782115","DRV-00003","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"4","RAMZI","ABDELAOUI","CIN000004","abdelaoui.ramzi.4@mock.local","98751092","DRV-00004","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"5","EL MEJRI","ABDELKADER","CIN000005","abdelkader.el.mejri.5@mock.local","98766381","DRV-00005","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"6","FAYCEL","ABDELLAOUI","CIN000006","abdellaoui.faycel.6@mock.local","98757469","DRV-00006","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"7","HAMADI","ABDELLAOUI","CIN000007","abdellaoui.hamadi.7@mock.local","99681359","DRV-00007","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"8","OTHMEN","ABDELLAOUI","CIN000008","abdellaoui.othmen.8@mock.local","98194223","DRV-00008","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"9","Ben Zaied","Abderrahim","CIN000009","abderrahim.ben.zaied.9@mock.local","98752915","DRV-00009","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"10","HICHEM","ABDERRAHIM","CIN000010","abderrahim.hichem.10@mock.local","98194233","DRV-00010","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"11","NACEF","ABID","CIN000011","abid.nacef.11@mock.local","98194224","DRV-00011","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"12","AMER","ABKI","CIN000012","abki.amer.12@mock.local","98781925","DRV-00012","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"13","BELGHITH","ACHREF","CIN000013","achref.belghith.13@mock.local","98757441","DRV-00013","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"14","FADHEL","ACHREF","CIN000014","achref.fadhel.14@mock.local","98724240","DRV-00014","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"15","BALAAZI","ADEL","CIN000015","adel.balaazi.15@mock.local","98766373","DRV-00015","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"16","YAHIA","AGERBAOUI","CIN000016","agerbaoui.yahia.16@mock.local","98747806","DRV-00016","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"17","MARWEN","AGILI","CIN000017","agili.marwen.17@mock.local","98747834","DRV-00017","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"18","SALEM","AGURBEOUI","CIN000018","agurbeoui.salem.18@mock.local","98759554","DRV-00018","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"19","BEN AMOR","AHMED","CIN000019","ahmed.ben.amor.19@mock.local","98766354","DRV-00019","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"20","BOUGHRARA","AHMED","CIN000020","ahmed.boughrara.20@mock.local","99955864","DRV-00020","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"21","CHERNI","AHMED","CIN000021","ahmed.cherni.21@mock.local","98770954","DRV-00021","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"22","GHOUL","AHMED","CIN000022","ahmed.ghoul.22@mock.local","97529922","DRV-00022","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"23","MASHOULI","AHMED","CIN000023","ahmed.mashouli.23@mock.local","97093274","DRV-00023","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"24","YACOUB","AHMED","CIN000024","ahmed.yacoub.24@mock.local","98757448","DRV-00024","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"25","ZRAMDA","AHMED","CIN000025","ahmed.zramda.25@mock.local","92782993","DRV-00025","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"26","HCINE","ALI","CIN000026","ali.hcine.26@mock.local","98759573","DRV-00026","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"27","KRIDENNE","ALI","CIN000027","ali.kridenne.27@mock.local","98752782","DRV-00027","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"28","ABDLKARIM","ALOUI","CIN000028","aloui.abdlkarim.28@mock.local",NULL,"DRV-00028","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"29","LASSOUED","AMIR","CIN000029","amir.lassoued.29@mock.local","98786657","DRV-00029","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"30","MONTASSAR","AMMAR","CIN000030","ammar.montassar.30@mock.local","98747831","DRV-00030","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"31","ABDELKARIME","AMOR","CIN000031","amor.abdelkarime.31@mock.local","98194218","DRV-00031","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"32","ANOUAR","AMRI","CIN000032","amri.anouar.32@mock.local","98752534","DRV-00032","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"33","SKANDER","AMRI","CIN000033","amri.skander.33@mock.local","93595920","DRV-00033","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"34","ARFAOUI","ANAS","CIN000034","anas.arfaoui.34@mock.local","98756807","DRV-00034","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"35","BEN MANSOUR","ANWER","CIN000035","anwer.ben.mansour.35@mock.local","98770981","DRV-00035","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"36","MONCEF","AOUNALLI","CIN000036","aounalli.moncef.36@mock.local","98747823","DRV-00036","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"37","MOHAMED","AROUSI","CIN000037","arousi.mohamed.37@mock.local","99237596","DRV-00037","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"38","BOUSEHA","ASSILI","CIN000038","assili.bouseha.38@mock.local","98766357","DRV-00038","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"39","TWAHNI","ATEF","CIN000039","atef.twahni.39@mock.local","98192623","DRV-00039","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"40","HABIB","AYED","CIN000040","ayed.habib.40@mock.local","92855637","DRV-00040","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"41","BOUSLEMA - LOC SOFIEN","AYMEN","CIN000041","aymen.bouslema.loc.sofien.41@mock.local",NULL,"DRV-00041","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"42","HAMMEMI","AYMEN","CIN000042","aymen.hammemi.42@mock.local","96531493","DRV-00042","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"43","JABNOUNI","AYMEN","CIN000043","aymen.jabnouni.43@mock.local","28023882","DRV-00043","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"44","JEDIDI","AYMEN","CIN000044","aymen.jedidi.44@mock.local","98775358","DRV-00044","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"45","Louati","Aymen","CIN000045","aymen.louati.45@mock.local","55221641","DRV-00045","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"46","RAOUIF","BACCOUCHI","CIN000046","baccouchi.raouif.46@mock.local","98770956","DRV-00046","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"47","BEN BRAHEM - RTS GHARBI","BACEM","CIN000047","bacem.ben.brahem.rts.gharbi.47@mock.local","29300144","DRV-00047","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"48","MOHAMED","BAHLOULI","CIN000048","bahlouli.mohamed.48@mock.local","98781978","DRV-00048","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
"49","MAHDI","BAHRI","CIN000049","bahri.mahdi.49@mock.local","98747843","DRV-00049","$2b$10$3QxGUYlyhQ8x7x8cJ7M3k.WvVDYxjJx7ynqQWiwxupCSvJ0puG1HS",NULL,"2026-04-10 16:04:30.045306","2026-04-10 16:04:30.045306"
